name,entname,price,area,last_time,detail_url,edu,content,welfare
编程老师,南宁市青秀区学大教育培训学校,6001-8000,南宁市,2021-12-02,https://www.gxrc.com/jobDetail/8c746ea72d7748838add5685fa7d2549,学历本科,【岗位职责】1. 按照教学大纲、教学进度，进行备课，高质量地完成课程的授课任务；2. 完成课程辅导工作，解答学员课程疑问，保证学员的学习质量；3. 对于学员的学习情况定期和家长保持积极沟通，完成续班转介绍任务；4. 参与校区教学活动；5. 负责教学设备的日常管理与维护；6. 领导安排的其他相关工作【任职要求】1. Kitten(7~11 岁）课程教师：愿意学习并从事少儿编程教育工作；计算机及相关专业毕业优先， 及师范类应届毕业生优先；2. Python（11 岁+）课程教师：计算机相关专业或有编程语言（python / c++ / C / Java / PHP / C#）基础3. 逻辑思路清晰，普通话标准；4. 具备优秀的学习能力、创新能力，能够快速掌握新知识；5. 愿意去了解并熟悉少儿心理，善于调动学生学习积极性，有强烈的耐心、责任心；,|
Python工程师,广西知感科技有限公司,6001-8000,南宁市,2021-12-01,https://www.gxrc.com/jobDetail/c58710c307b544f2aeca556ece9e4ddd,学历本科,公共要求 - 诚实、正直、踏实 - 热爱互联网行业，您需要的不仅是一个“工作”，更是“职业”或更多 - 充满钻研热情，不满足于“知其然”，更热衷于“知其所以然” - 基础扎实、热爱学习、乐于拥抱变化 - 能胜任远程工作者 - 熟悉linux系统 优先考虑 - 英语能力较好先考虑 - 有产品意识优先 对于Python开发工程师的要求 - 熟练使用Python / Django / FastAPI 进行开发 - 了解前端开发优先考虑 [职责] - 熟练掌握各项团队协作相关工具 - 运用WEB相关技能、框架进行WEB系统开发、调试 - 与伙伴一起与客户沟通，掌握需求、设计系统,|
python程序员,永旭工艺（深圳）有限公司,4001-5000,青秀区,2021-12-02,https://www.gxrc.com/jobDetail/b96b44abf07c4065b5f8aa073faffe94,学历大专,1、精通Python，熟练使用面向对象编程；  2、熟悉数据库，包括但不仅限于熟练使用、数据库调优等；3、2年以上工作经验4、有项目管理经验或团队管理经验重点优先考虑5、工作认真负责。,|
Python高级工程师,南宁市乐锐网络科技有限公司,6001-8000,南宁市,2021-12-02,https://www.gxrc.com/jobDetail/aac3654c1149499b950a1d70fb13e285,学历不限,"岗位职责：1、参与爬虫项目的架构设计、研发、编程工作，改进和提升爬虫效率；2、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；3、负责后台爬虫数据的分布式存储设计以及代码实现；4、负责网页采集任务的分析及采集方案设计；5、负责分布式爬虫策略持续优化任职要求：1、2年以上开发工作经验，Python基础扎实；2、熟悉多线程、多进程、协程开发、网络编程，精通网页抓取原理及技术的实现细节；3、了解分布式计算和储存技术以及相关原理；4、具备Python运维平台开发经验，熟悉 Django/Django rest/Tornado/Flask/Sqlalchemy 等其中一种或几种开发框架；5、掌握HTML、CSS、JQuery、RESTful 相关技术；6、具有良好的站点分析经验，能独立处理基于(seeion, cookie)、(AccessToken, Token)、(selenium, splash)、(访问量, 访问频率)的反爬。自主设计爬取流程；7、熟悉基于规则的网页信息定位，精通正则表达式，xpath语法；8、精通原生Python urllib爬取方式、精通原生Python requests爬取方式、精通框架Python scrapy的爬取方式、熟悉Python aiohttp 异步请求框架的爬取方式；9、熟悉掌握一种或多种热门关系型数据库和非关系型数据库、熟练使用Git；10、热爱互联网，对搜索技术和探索未知领域有浓厚兴趣；11、能够高效地沟通,并与团队或跨团队同事有效地协作办公。加分项：1、能够自动化处理滑动验证码、静态验证码、动态验证码；2、熟悉Python爬虫服务器部署;",|
Python程序员,广西数锋信息科技有限公司,5001-6000,南宁市,2021-12-01,https://www.gxrc.com/jobDetail/5405b5b0920647c6bc40f77f40eca2ee,学历大专,1、熟悉Python编程、设计模式和组件技术2、3年以上Python编程经验，有Python架构系统经验者优先3、熟悉Python多进程协程开发，熟悉WEB开发框架Flask。4、有数据挖掘经验。5、熟悉Redis、MongoDB等，具备数据库应用、设计能力6、熟悉Linux操作系统及shell编程7、对分布式及高性能Web有一定认识，对可靠性设计有较好的经验8、拥有良好的代码习惯，具备良好的人际沟通能力9、对新技术有强烈的探索欲望，能够承受工作压力，有强烈的责任心10、对以下关键词大部分都有所了解的优先：Django / Flask / coroutine / celery/ sklearn / TensorFlow / Redis /selenium/SEO优化,|
数据分析员,南宁星链文化传媒有限公司,4001-5000,青秀区,2021-12-02,https://www.gxrc.com/jobDetail/8a60f97c0c884351b7d2bfca557fa73e,学历大专,岗位职责：1、统计学相关专业优先2、能熟练应用Excel、PPT、Python、SQL等工具3、能够多维度对数据进行整理、分析，构建分析模型、给出分析意见等4、承担数据支持工作，满足业务团队的核心业务数据分析需求，同时抽象出更高层次的数据逻辑、反向指导业务方向岗位要求：1、擅长沟通、积极进取，有良好的协同工作能力；2、严谨的逻辑思维能力、优秀的学习能力、言语表达能力、管理能力；3、至少有1年（含）以上数据挖掘与分析工作经验；【福利待遇】1、薪资3500－4500，试用期1个月2、周末双休+五险+节日福利+带薪年假,|
Python编程老师,深圳市瑞视云智科技有限公司,6001-8000,西乡塘区,2021-12-01,https://www.gxrc.com/jobDetail/ad3ed401c01843469625489e6cafec26,学历本科,岗位职责：1、负责大数据、人工智能教育方向的教学研发工作，包括教学体系开发、课程内容设计等；2、负责教学方案设计和教学资料的制作，包括课程大纲、教学课件等；3、负责远程教学的过程性设计和在线教学内容研发；4、将产业经验转化为教学资源，设计实验室方案或实训类项目的教学内容。任职资格：1、本科及以上学历，计算机或应用数学、统计学相关专业；有1年以上 大数据/AI 技术行业教育培训授课经验或课程研发经验；2、熟练使用Java、Python、Scala至少一门语言，熟悉Redis和MySQL，熟悉Linux平台；3、熟悉分布式、高性能计算，从事过Hadoop、Spark、MPI相关的开发工作者优先；4、至少参与过一个中大型实际项目开发者；5、 表达能力强，声音清晰自然，个性开朗，乐于与人交流；（注：本职位对这条很重视）；6、热爱IT技术职业教育工作，有前瞻性和市场洞察能力，敢于拼搏，有创业精神；,
运营督查员,南宁星链文化传媒有限公司,4001-5000,青秀区,2021-12-02,https://www.gxrc.com/jobDetail/a30a915d952e44a9b6eb965e37d28f5d,学历大专,岗位职责：1、统计学相关专业优先2、能熟练应用Excel、PPT、Python、SQL等工具3、能够多维度对数据进行整理、分析，构建分析模型、给出分析意见等4、承担数据支持工作，满足业务团队的核心业务数据分析需求，同时抽象出更高层次的数据逻辑、反向指导业务方向岗位要求：1、擅长沟通、积极进取，有良好的协同工作能力；2、严谨的逻辑思维能力、优秀的学习能力、言语表达能力、管理能力；3、至少有1年（含）以上数据挖掘与分析工作经验；【福利待遇】1、薪资3500－4500，试用期1个月2、周末双休+五险+节日福利+带薪年假,|
会计（高级）,贵港龙派纸塑制品有限公司,5001-6000,贵港市,2021-12-02,https://www.gxrc.com/jobDetail/685060c1ee96445c9c03e7b2aaff9e87,学历大专,岗位薪酬：5000--6500（不含年度企业利润分配）。岗位职责：1. 数据工作：车间、仓库、PMC等各项数据收集，简单数据分析，与统计员，做好协调数据工作；2. 税务工作：开具发票，简单税账报表，税账分析；3. 成本工作：材料、人工归集，协助成本管理人员汇整资料；4. 费用工作：根据公司费用正常，审核费用报销，凭证录入。6. 上级领导交办的事务。任职要求：1. 财务相关专业统招大专及以上学历，初级会计师或以上；2. 一年以上财务工作经验， 优秀应届生亦可。3. 沟通协调能力良好，逻辑思维敏捷、思路清晰，主动性强；4. 操作Office能力，如：数据透视表、分类汇总等，能用Python、SQL数据等办公软件优先。发展方向：会计→主管福利：1. 购买五险；2. 包吃住；2.1 正餐三菜一汤；2.2 提供宵夜；2.3 冷暖空调宿舍。3. 每年进行一次健康体检。4. 公司聘请专业导师为员工提供职业规划发展指导。5. 住市区会有通勤车接送上下班（固定站点：观天下、万达广场）。6. 每周休息1.5天。7. 可享受企业利润分配（相当于月收入的0--5倍，根据部门工作业绩、岗位工作业绩、团队合作、个人贡献力、个人潜能等综合评估后确定倍数）。上班时间：8:30-12:00  14:00-17:30周六下午下班时间为15:30,|
软件测试工程师,广西数字国信安全技术服务有限公司,4001-5000,兴宁区,2021-12-02,https://www.gxrc.com/jobDetail/324a394c8af647b6b834fee20591e2e9,学历本科,一、职位描述：1、根据软件评测流程和测试方法，独立开展第三方独立测评，指导、带领团队完成较复杂项目。2、根据功能性测试、性能效率测试、易用性等测试方法和常见工具，编写测试需求文档、测试用例、测试报告等。3、独立开展招投标技术支持工作，开展项目售前工作。4、主导编写软件测评相关项目文件。5、通过自身的沟通，建立与客户、其他承建方沟通通道，推进项目开展。二、任职要求：1、本科以上学历，计算机软件及相关专业。具有软件评测师、风险评估、安全测试等相关从业资格证书者优先；2、具有软件测试机构任职经验，从事过大型信息化测评类项目的优先；3、熟练掌握的软件测试理论，熟悉软件测试的方法、流程和规范，根据项目需求，编写测试方案、测试计划、测试用例，执行测试并跟踪测试结果。4、掌握常用测试技术知识，包括自动化测试、白盒、黑盒、回归测试等；掌握测试用例设计方法，如场景法、边界值分析法、划分等价类等5、了解压力测试工具，掌握常用软件测试工具（例：Jmeter、LoadRunner等），具备独立搭建测试环境的能力；6、具备较强的文书编写能力，完成测试报告等相关文档的编写工作；7、具有较强的领导能力、沟通协调能力、应变能力、较好的主动性及抗压性；8、具有渗透测试经验，一定的软件编程、逆向分析能力，熟练应用一门或几门脚本语言Perl/Python等优先；9、不低于2年的软件测试经验。三、预计年收入：8-15万元。四、晋升路线：主管-经理-总监。五、上班地点与时间：1、上班时间：周一至周五，8:30-12:00，14:30-18:00；2、上班地点：长堽路157号颖都大酒店2楼。,|
